course_id,course_title,category,prerequisite_ids,est_hours,course_organization,course_difficulty,course_rating
1027,UI/UX Design Essentials,Design,[],10,deeplearning.ai,Beginner,4.9
1028,Cassandra Database Complete Guide,Database,[1027],15,NPTEL,Intermediate,3.7
1029,iOS Mobile Dev for Beginners,Mobile Dev,"[1017,1027]",26,freeCodeCamp,Intermediate,4.8
1030,Network Admin Networking Certification Prep,Networking,"[1006,1018,1022]",44,Linux Foundation,Advanced,3.8
1031,Advanced Programming for Beginners,Programming,[],15,Docker Inc,Beginner,4.4
1032,Analytics Data Science Crash Course,Data Science,[],14,IIT Delhi,Beginner,5
1033,Reinforcement AI Advanced,AI,[1022],20,Atlassian,Intermediate,3.9
1034,Node.js Web Dev Complete Guide,Web Dev,[1027],27,NPTEL,Intermediate,4.1
1035,Cloud-Native Cloud Advanced,Cloud,"[1024,1031]",35,Red Hat,Advanced,3.5
1036,Linux DevOps Fundamentals,DevOps,[],9,Khan Academy,Beginner,4.5
1037,Optimization Mathematics in Practice,Mathematics,[],6,Yale,Beginner,4.7
1038,Computer Networks Computer Sci Essentials,Computer Sci,"[1036,1011]",27,Yale,Intermediate,3.8
1039,Network Security Cybersecurity Complete Guide,Cybersecurity,[1011],30,Infosys Springboard,Intermediate,3.7
1040,MBA Essentials Business Masterclass,Business,"[1036,1001,1008]",49,Yale,Advanced,4.7
1041,Storytelling Communication for Beginners,Communication,[],13,Coursera,Beginner,4.1
1042,UI/UX Design Complete Guide,Design,[],15,Meta,Beginner,4
1043,MongoDB Database Essentials,Database,[1011],22,Harvard,Intermediate,4.6
1044,Cross-Platform Mobile Dev Certification Prep,Mobile Dev,[1032],25,Microsoft,Intermediate,4
1045,Network Admin Networking Certification Prep,Networking,"[1003,1029,1019]",42,Docker Inc,Advanced,3.6
1046,Advanced Programming Certification Prep,Programming,[],6,Google Cloud,Beginner,4.5
1047,Practical Data Science Essentials,Data Science,[],5,deeplearning.ai,Beginner,3.9
1048,NLP AI Fundamentals,AI,[1001],30,NPTEL,Intermediate,4.4
1049,Vue.js Web Dev Professional,Web Dev,"[1046,1032]",15,Stanford,Intermediate,4.1
1050,Cloud-Native Cloud in Practice,Cloud,"[1046,1048,1001]",45,Stanford,Advanced,4.7
1051,DevOps DevOps Professional,DevOps,[],15,Linux Foundation,Beginner,4.6
1052,Probability Mathematics Masterclass,Mathematics,[],15,Linux Foundation,Beginner,3.7
1053,Algorithms Computer Sci Zero to Hero,Computer Sci,[1032],17,Stanford,Intermediate,3.6
1054,Cryptography Cybersecurity Complete Guide,Cybersecurity,[1002],21,deeplearning.ai,Intermediate,4.3
1055,Project Management Business Essentials,Business,"[1017,1007]",27,Udemy,Advanced,4.1
1056,Technical Writing Communication Bootcamp,Communication,[],9,Meta,Beginner,3.9
1057,Prototyping Design Fundamentals,Design,[],15,IIT Delhi,Beginner,5
1058,SQL Database Fundamentals,Database,"[1007,1016]",24,Stanford,Intermediate,4.2
1059,Swift Mobile Dev in Practice,Mobile Dev,[1017],26,NPTEL,Intermediate,3.9
1060,SDN Networking in Practice,Networking,"[1049,1051,1059]",28,Oracle,Advanced,3.6
1061,Core Programming Fundamentals,Programming,[],6,Udemy,Beginner,4
1062,Big Data Data Science Specialization,Data Science,[],9,Docker Inc,Beginner,4.3
1063,AI for AI Crash Course,AI,[1041],23,Meta,Intermediate,3.6
1064,React Web Dev Crash Course,Web Dev,"[1016,1032]",21,freeCodeCamp,Intermediate,3.8
1065,AWS Cloud Specialization,Cloud,"[1001,1046]",48,Red Hat,Advanced,4.8
1066,CI/CD DevOps for Beginners,DevOps,[],15,MIT OpenCourse,Beginner,4.7
1067,Number Theory Mathematics Essentials,Mathematics,[],7,NPTEL,Beginner,4.4
1068,Data Structures Computer Sci Complete Guide,Computer Sci,[1012],23,MIT OpenCourse,Intermediate,4.3
1069,Network Security Cybersecurity Essentials,Cybersecurity,[1001],22,Coursera,Intermediate,4.4
1070,Project Management Business with Projects,Business,"[1028,1044]",33,freeCodeCamp,Advanced,4.5
1071,Storytelling Communication Bootcamp,Communication,[],11,Stanford,Beginner,3.9
1072,Prototyping Design Fundamentals,Design,[],14,freeCodeCamp,Beginner,3.5
1073,SQL Database Zero to Hero,Database,[1002],18,Udemy,Intermediate,4.6
1074,React Native Mobile Dev Complete Guide,Mobile Dev,[1022],29,Meta,Intermediate,4.6
1075,Network+ Networking Advanced,Networking,"[1052,1067,1048]",37,Linux Foundation,Advanced,4
1076,Core Programming for Beginners,Programming,[],9,Docker Inc,Beginner,4.8
1077,Exploratory Data Science Crash Course,Data Science,[],13,Stanford,Beginner,3.8
1078,AI for AI in Practice,AI,[1016],24,Infosys Springboard,Intermediate,4.4
1079,Next.js Web Dev with Projects,Web Dev,[1046],28,Harvard,Intermediate,4.7
1080,Cloud Cloud in Practice,Cloud,"[1071,1012]",27,Udemy,Advanced,3.7
1081,Infrastructure DevOps Crash Course,DevOps,[],13,Microsoft,Beginner,3.5
1082,Linear Algebra Mathematics Complete Guide,Mathematics,[],14,IBM,Beginner,4.3
1083,Algorithms Computer Sci Certification Prep,Computer Sci,"[1021,1067]",15,deeplearning.ai,Intermediate,3.5
1084,Network Security Cybersecurity Specialization,Cybersecurity,[1047],23,Yale,Intermediate,3.7
1085,Finance Business for Beginners,Business,"[1023,1048]",48,Harvard,Advanced,3.6
1086,Academic Writing Communication Deep Dive,Communication,[],9,Docker Inc,Beginner,3.9
1087,Interaction Design Advanced,Design,[],8,Linux Foundation,Beginner,3.6
1088,NoSQL Database in Practice,Database,"[1041,1081]",19,Linux Foundation,Intermediate,4.4
1089,iOS Mobile Dev Professional,Mobile Dev,[1066],18,Amazon AWS,Intermediate,4.6
1090,Wireless Networking Networking Crash Course,Networking,"[1086,1018,1084]",33,IIT Delhi,Advanced,3.5
1091,Core Programming Professional,Programming,[],5,Red Hat,Beginner,4.1
1092,Statistical Data Science Advanced,Data Science,[],11,Stanford,Beginner,4
1093,Machine Learning AI Crash Course,AI,[1042],19,IIT Delhi,Intermediate,3.7
1094,Next.js Web Dev Advanced,Web Dev,[1037],18,Khan Academy,Intermediate,3.8
1095,Azure Cloud with Projects,Cloud,"[1078,1002,1008]",39,freeCodeCamp,Advanced,4.8
1096,DevOps DevOps Specialization,DevOps,[],12,Red Hat,Beginner,3.9
1097,Discrete Math Mathematics Certification Prep,Mathematics,[],6,IBM,Beginner,3.5
1098,OS Concepts Computer Sci in Practice,Computer Sci,[1076],24,Google Cloud,Intermediate,3.5
1099,Penetration Cybersecurity Crash Course,Cybersecurity,"[1091,1056]",23,Princeton,Intermediate,4.6
1100,Finance Business Certification Prep,Business,"[1014,1077]",29,Khan Academy,Advanced,4.1
1101,Public Speaking Communication for Beginners,Communication,[],13,Red Hat,Beginner,4.3
1102,Prototyping Design Complete Guide,Design,[],5,Linux Foundation,Beginner,3.9
1103,Redis Database Crash Course,Database,"[1052,1092]",30,MIT OpenCourse,Intermediate,3.7
1104,Swift Mobile Dev Fundamentals,Mobile Dev,[1096],18,Infosys Springboard,Intermediate,5
1105,Wireless Networking Networking Complete Guide,Networking,"[1064,1028,1066]",30,Harvard,Advanced,4.6
1106,Java Programming Fundamentals,Programming,[],5,deeplearning.ai,Beginner,4.3
1107,Applied Data Science Certification Prep,Data Science,[],15,deeplearning.ai,Beginner,3.8
1108,AI for AI for Beginners,AI,"[1001,1056]",20,Princeton,Intermediate,4.7
1109,Angular Web Dev with Projects,Web Dev,[1087],28,Yale,Intermediate,4.8
1110,AWS Cloud Deep Dive,Cloud,"[1098,1103]",26,Yale,Advanced,3.9
1111,Infrastructure DevOps Advanced,DevOps,[],8,Google Cloud,Beginner,3.5
1112,Calculus Mathematics with Projects,Mathematics,[],9,Microsoft,Beginner,4.1
1113,System Design Computer Sci Zero to Hero,Computer Sci,[1081],19,Khan Academy,Intermediate,3.8
1114,Incident Response Cybersecurity Complete Guide,Cybersecurity,"[1047,1072]",23,Infosys Springboard,Intermediate,4.7
1115,Leadership Business in Practice,Business,"[1028,1046,1029]",48,MIT OpenCourse,Advanced,4
1116,Storytelling Communication Specialization,Communication,[],15,freeCodeCamp,Beginner,4.6
1117,Product Design Design Complete Guide,Design,[],14,CNCF,Beginner,4.9
1118,SQL Database in Practice,Database,"[1076,1041]",22,Princeton,Intermediate,3.9
1119,React Native Mobile Dev Advanced,Mobile Dev,"[1087,1012]",21,Khan Academy,Intermediate,4.3
1120,Cisco CCNA Networking Complete Guide,Networking,"[1097,1051,1047]",25,deeplearning.ai,Advanced,4.1
1121,Python for Programming Fundamentals,Programming,[],13,Princeton,Beginner,4.9
1122,Data Data Science Specialization,Data Science,[],5,Udemy,Beginner,3.9
1123,Neural Networks AI for Beginners,AI,"[1032,1071]",29,Cisco,Intermediate,4.5
1124,React Web Dev Complete Guide,Web Dev,"[1082,1121]",25,Infosys Springboard,Intermediate,4.6
1125,Cloud Cloud Certification Prep,Cloud,"[1097,1026,1083]",44,Amazon AWS,Advanced,4.1
1126,DevOps DevOps Crash Course,DevOps,[],14,CNCF,Beginner,4.6
1127,Optimization Mathematics Complete Guide,Mathematics,[],14,Linux Foundation,Beginner,4.4
1128,Algorithms Computer Sci Advanced,Computer Sci,[1096],24,NPTEL,Intermediate,4.4
1129,Incident Response Cybersecurity Deep Dive,Cybersecurity,[1062],29,Stanford,Intermediate,3.5
1130,Lean Business for Beginners,Business,"[1099,1112]",28,freeCodeCamp,Advanced,4.6
1131,Business English Communication Complete Guide,Communication,[],12,Harvard,Beginner,4.1
1132,Prototyping Design Deep Dive,Design,[],5,deeplearning.ai,Beginner,4.8
1133,Database Design Database in Practice,Database,"[1127,1006]",22,Oracle,Intermediate,4.1
1134,Cross-Platform Mobile Dev Complete Guide,Mobile Dev,[1092],15,Stanford,Intermediate,3.7
1135,Wireless Networking Networking Deep Dive,Networking,"[1071,1067,1114]",29,Coursera,Advanced,3.8
1136,Advanced Programming Certification Prep,Programming,[],10,Khan Academy,Beginner,3.6
1137,Data Data Science Certification Prep,Data Science,[],12,IBM,Beginner,3.7
1138,NLP AI Specialization,AI,"[1061,1027]",26,Microsoft,Intermediate,4.6
1139,Vue.js Web Dev Bootcamp,Web Dev,"[1001,1097]",21,Oracle,Intermediate,4.7
1140,Hybrid Cloud Cloud Advanced,Cloud,"[1017,1119]",46,Oracle,Advanced,4.7
1141,Site Reliability DevOps Essentials,DevOps,[],10,Cisco,Beginner,4.7
1142,Statistics Mathematics Complete Guide,Mathematics,[],12,Meta,Beginner,4.9
1143,Theory of Computer Sci Complete Guide,Computer Sci,"[1027,1087]",15,freeCodeCamp,Intermediate,4.3
1144,Incident Response Cybersecurity for Beginners,Cybersecurity,"[1076,1107]",18,Amazon AWS,Intermediate,4.3
1145,MBA Essentials Business for Beginners,Business,"[1023,1082,1033]",29,Coursera,Advanced,4.8
1146,Business English Communication Bootcamp,Communication,[],13,deeplearning.ai,Beginner,3.9
1147,Interaction Design Bootcamp,Design,[],11,Coursera,Beginner,4.4
1148,Database Design Database Crash Course,Database,"[1052,1007]",26,Docker Inc,Intermediate,4.7
1149,Kotlin Mobile Dev Fundamentals,Mobile Dev,[1096],30,Microsoft,Intermediate,4
1150,Wireless Networking Networking Complete Guide,Networking,"[1139,1116,1012]",39,Meta,Advanced,4.8
1151,Python for Programming Masterclass,Programming,[],6,Infosys Springboard,Beginner,3.9
1152,Analytics Data Science Masterclass,Data Science,[],15,Atlassian,Beginner,4.9
1153,Deep Learning AI for Beginners,AI,[1026],21,Stanford,Intermediate,4.3
1154,Next.js Web Dev Complete Guide,Web Dev,[1131],30,IBM,Intermediate,4.8
1155,Serverless Cloud Bootcamp,Cloud,"[1119,1019]",50,Coursera,Advanced,3.5
1156,Kubernetes DevOps Bootcamp,DevOps,[],6,deeplearning.ai,Beginner,4.9
1157,Probability Mathematics for Beginners,Mathematics,[],5,Udemy,Beginner,3.9
1158,Algorithms Computer Sci Masterclass,Computer Sci,[1016],19,MIT OpenCourse,Intermediate,4.2
1159,Security+ Cybersecurity in Practice,Cybersecurity,"[1067,1042]",27,Amazon AWS,Intermediate,4.2
1160,Project Management Business Masterclass,Business,"[1038,1067,1122]",48,Amazon AWS,Advanced,3.6
1161,Business English Communication with Projects,Communication,[],15,deeplearning.ai,Beginner,4.2
1162,Design Thinking Design in Practice,Design,[],9,Harvard,Beginner,4.3
1163,PostgreSQL Database Bootcamp,Database,[1132],15,Cisco,Intermediate,4.7
1164,Swift Mobile Dev for Beginners,Mobile Dev,[1156],23,IBM,Intermediate,4.9
1165,OSI Model Networking with Projects,Networking,"[1056,1108]",25,MIT OpenCourse,Advanced,3.6
1166,Java Programming for Beginners,Programming,[],7,Microsoft,Beginner,3.9
1167,Applied Data Science for Beginners,Data Science,[],15,freeCodeCamp,Beginner,3.9
1168,Deep Learning AI Fundamentals,AI,[1051],30,Red Hat,Intermediate,3.9
1169,Node.js Web Dev Essentials,Web Dev,[1011],20,Google Cloud,Intermediate,4.7
1170,Cloud Cloud Zero to Hero,Cloud,"[1101,1056]",39,CNCF,Advanced,3.8
1171,Linux DevOps Masterclass,DevOps,[],10,Khan Academy,Beginner,5
1172,Probability Mathematics for Beginners,Mathematics,[],5,MIT OpenCourse,Beginner,4.9
1173,Data Structures Computer Sci Crash Course,Computer Sci,[1056],28,Amazon AWS,Intermediate,3.9
1174,Penetration Cybersecurity Bootcamp,Cybersecurity,[1171],20,Meta,Intermediate,4.6
1175,Finance Business Certification Prep,Business,"[1024,1018,1033]",36,NPTEL,Advanced,3.8
1176,Technical Writing Communication Professional,Communication,[],9,CNCF,Beginner,3.7
1177,UI/UX Design Professional,Design,[],9,Yale,Beginner,4.4
1178,Cassandra Database in Practice,Database,"[1101,1047]",16,Khan Academy,Intermediate,3.8
1179,Cross-Platform Mobile Dev with Projects,Mobile Dev,[1022],22,Coursera,Intermediate,4.8
1180,TCP/IP Networking Complete Guide,Networking,"[1136,1177,1022]",42,Harvard,Advanced,3.7
1181,C++ and Programming Essentials,Programming,[],5,Linux Foundation,Beginner,4.7
1182,Big Data Data Science Crash Course,Data Science,[],15,IBM,Beginner,4.1
1183,Deep Learning AI Professional,AI,"[1106,1132]",15,deeplearning.ai,Intermediate,4.6
1184,Full-Stack Web Dev Bootcamp,Web Dev,"[1031,1171]",29,Yale,Intermediate,4.2
1185,Cloud-Native Cloud Deep Dive,Cloud,"[1103,1182]",28,Princeton,Advanced,3.9
1186,Kubernetes DevOps Masterclass,DevOps,[],8,Amazon AWS,Beginner,4.4
1187,Optimization Mathematics in Practice,Mathematics,[],14,Khan Academy,Beginner,3.5
1188,System Design Computer Sci Zero to Hero,Computer Sci,"[1006,1106]",30,NPTEL,Intermediate,4
1189,Cryptography Cybersecurity Crash Course,Cybersecurity,"[1096,1117]",19,Coursera,Intermediate,4.7
1190,Project Management Business Essentials,Business,"[1123,1058,1049]",33,IBM,Advanced,3.5
1191,English for Communication Certification Prep,Communication,[],10,IIT Delhi,Beginner,3.9
1192,UI/UX Design with Projects,Design,[],11,Yale,Beginner,4.6
1193,Cassandra Database for Beginners,Database,[1121],29,Docker Inc,Intermediate,4
1194,React Native Mobile Dev Zero to Hero,Mobile Dev,[1092],28,IIT Delhi,Intermediate,4.2
1195,Network+ Networking in Practice,Networking,"[1036,1186,1156]",50,IBM,Advanced,4.4
1196,Core Programming Bootcamp,Programming,[],8,Princeton,Beginner,4.4
1197,Analytics Data Science Bootcamp,Data Science,[],15,NPTEL,Beginner,4.6
1198,Neural Networks AI in Practice,AI,"[1056,1162]",20,Microsoft,Intermediate,4.5
1199,Full-Stack Web Dev Complete Guide,Web Dev,[1042],30,Red Hat,Intermediate,4.6
1200,Azure Cloud Zero to Hero,Cloud,"[1067,1006,1139]",45,Princeton,Advanced,4.4
1201,Docker DevOps Essentials,DevOps,[],6,Harvard,Beginner,4
1202,Number Theory Mathematics Professional,Mathematics,[],11,IIT Delhi,Beginner,3.5
1203,Theory of Computer Sci Advanced,Computer Sci,[1166],21,Udemy,Intermediate,4.6
1204,Network Security Cybersecurity Crash Course,Cybersecurity,"[1146,1062]",25,Cisco,Intermediate,4
1205,MBA Essentials Business Advanced,Business,"[1022,1064,1118]",36,Harvard,Advanced,4.5
1206,Academic Writing Communication Professional,Communication,[],6,Microsoft,Beginner,4.5
1207,Design Thinking Design Advanced,Design,[],15,Amazon AWS,Beginner,4.9
1208,Cassandra Database Bootcamp,Database,"[1102,1171]",18,Google Cloud,Intermediate,4
1209,React Native Mobile Dev with Projects,Mobile Dev,"[1152,1116]",21,Amazon AWS,Intermediate,4.6
1210,Wireless Networking Networking Masterclass,Networking,"[1169,1026]",40,Amazon AWS,Advanced,4.5
1211,Python for Programming with Projects,Programming,[],7,Cisco,Beginner,4.4
1212,Analytics Data Science Crash Course,Data Science,[],8,Amazon AWS,Beginner,4.5
1213,Neural Networks AI Certification Prep,AI,"[1046,1051]",22,IIT Delhi,Intermediate,4.6
1214,React Web Dev Masterclass,Web Dev,"[1121,1131]",24,Docker Inc,Intermediate,4.2
1215,GCP Cloud for Beginners,Cloud,"[1054,1047,1197]",49,Stanford,Advanced,3.5
1216,Docker DevOps Specialization,DevOps,[],15,freeCodeCamp,Beginner,3.7
1217,Discrete Math Mathematics Zero to Hero,Mathematics,[],10,Princeton,Beginner,3.6
1218,Data Structures Computer Sci Zero to Hero,Computer Sci,"[1166,1137]",16,Khan Academy,Intermediate,4.4
1219,Network Security Cybersecurity for Beginners,Cybersecurity,"[1002,1046]",20,Linux Foundation,Intermediate,5
1220,Project Management Business for Beginners,Business,"[1007,1171]",49,IBM,Advanced,3.8
1221,Technical Writing Communication Essentials,Communication,[],15,Google Cloud,Beginner,4.2
1222,Product Design Design for Beginners,Design,[],15,IIT Delhi,Beginner,4.2
1223,Database Design Database Certification Prep,Database,[1146],15,Docker Inc,Intermediate,3.6
1224,Cross-Platform Mobile Dev Certification Prep,Mobile Dev,[1217],16,Coursera,Intermediate,4.1
1225,Cisco CCNA Networking Bootcamp,Networking,"[1033,1021,1193]",35,Google Cloud,Advanced,3.7
1226,Java Programming Crash Course,Programming,[],8,Infosys Springboard,Beginner,3.6
1227,Practical Data Science Professional,Data Science,[],11,NPTEL,Beginner,4.8
1228,Generative AI AI Specialization,AI,[1171],30,Khan Academy,Intermediate,3.9
1229,Vue.js Web Dev Fundamentals,Web Dev,"[1097,1147]",19,Microsoft,Intermediate,4.9
1230,Azure Cloud in Practice,Cloud,"[1178,1054]",49,IIT Delhi,Advanced,4.4
1231,Linux DevOps in Practice,DevOps,[],9,Meta,Beginner,4.1
1232,Statistics Mathematics Advanced,Mathematics,[],9,Docker Inc,Beginner,4.3
1233,OS Concepts Computer Sci Professional,Computer Sci,"[1022,1166]",25,Oracle,Intermediate,4.6
1234,Network Security Cybersecurity Certification Prep,Cybersecurity,"[1176,1012]",29,Stanford,Intermediate,3.6
1235,Business Analytics Business Masterclass,Business,"[1227,1076,1178]",50,Linux Foundation,Advanced,4.5
1236,Public Speaking Communication Deep Dive,Communication,[],5,Princeton,Beginner,3.5
1237,Graphic Design Design Fundamentals,Design,[],6,CNCF,Beginner,4.9
1238,PostgreSQL Database in Practice,Database,"[1066,1202]",17,Linux Foundation,Intermediate,3.6
1239,React Native Mobile Dev Specialization,Mobile Dev,[1061],16,Meta,Intermediate,4.2
1240,OSI Model Networking in Practice,Networking,"[1131,1176]",37,MIT OpenCourse,Advanced,3.7
1241,Mastering Programming Certification Prep,Programming,[],6,Meta,Beginner,4.1
1242,Exploratory Data Science Zero to Hero,Data Science,[],5,Cisco,Beginner,4.4
1243,Generative AI AI Masterclass,AI,"[1031,1016]",23,deeplearning.ai,Intermediate,4.6
1244,Full-Stack Web Dev Advanced,Web Dev,"[1062,1196]",30,Atlassian,Intermediate,4.1
1245,Cloud-Native Cloud Zero to Hero,Cloud,"[1079,1106]",41,IBM,Advanced,4
1246,CI/CD DevOps Zero to Hero,DevOps,[],14,Microsoft,Beginner,3.5
1247,Number Theory Mathematics Specialization,Mathematics,[],14,Docker Inc,Beginner,3.8
1248,OS Concepts Computer Sci Professional,Computer Sci,[1087],28,IBM,Intermediate,3.6
1249,Incident Response Cybersecurity Complete Guide,Cybersecurity,[1246],17,Yale,Intermediate,4.9
1250,Lean Business Zero to Hero,Business,"[1003,1191]",43,Microsoft,Advanced,3.9
1251,Storytelling Communication Essentials,Communication,[],13,Meta,Beginner,4.8
1252,UI/UX Design Professional,Design,[],5,Amazon AWS,Beginner,4.9
1253,PostgreSQL Database Zero to Hero,Database,"[1181,1147]",27,IBM,Intermediate,4.5
1254,Kotlin Mobile Dev for Beginners,Mobile Dev,[1051],25,Infosys Springboard,Intermediate,3.5
1255,Cisco CCNA Networking Certification Prep,Networking,"[1232,1249]",30,CNCF,Advanced,3.8
1256,Mastering Programming Specialization,Programming,[],7,NPTEL,Beginner,4.8
1257,Data Data Science Crash Course,Data Science,[],8,Red Hat,Beginner,4.5
1258,AI for AI Crash Course,AI,[1186],24,Infosys Springboard,Intermediate,4.9
1259,React Web Dev Essentials,Web Dev,"[1081,1172]",27,Infosys Springboard,Intermediate,4.6
1260,GCP Cloud Certification Prep,Cloud,"[1029,1113]",25,Harvard,Advanced,4
1261,Infrastructure DevOps Deep Dive,DevOps,[],13,Cisco,Beginner,4
1262,Calculus Mathematics Certification Prep,Mathematics,[],8,Red Hat,Beginner,4.3
1263,Algorithms Computer Sci Bootcamp,Computer Sci,"[1011,1087]",27,Google Cloud,Intermediate,4.8
1264,Ethical Hacking Cybersecurity Crash Course,Cybersecurity,[1061],28,Udemy,Intermediate,4.2
1265,MBA Essentials Business with Projects,Business,"[1197,1082]",32,Stanford,Advanced,4.8
1266,Academic Writing Communication Certification Prep,Communication,[],6,Cisco,Beginner,4.7
1267,Design Thinking Design Advanced,Design,[],15,deeplearning.ai,Beginner,4.4
1268,PostgreSQL Database with Projects,Database,"[1062,1037]",27,Atlassian,Intermediate,3.8
1269,iOS Mobile Dev Advanced,Mobile Dev,"[1186,1041]",15,NPTEL,Intermediate,4.6
1270,Cisco CCNA Networking with Projects,Networking,"[1016,1122]",40,NPTEL,Advanced,4.4
1271,Java Programming Certification Prep,Programming,[],7,Yale,Beginner,4.8
1272,Statistical Data Science Zero to Hero,Data Science,[],5,Google Cloud,Beginner,4.7
1273,Neural Networks AI Complete Guide,AI,[1167],21,MIT OpenCourse,Intermediate,3.8
1274,Next.js Web Dev Professional,Web Dev,"[1026,1077]",26,IBM,Intermediate,4.6
1275,Cloud-Native Cloud Complete Guide,Cloud,"[1084,1011]",48,Red Hat,Advanced,3.9
1276,Docker DevOps Bootcamp,DevOps,[],10,Udemy,Beginner,4
1277,Calculus Mathematics for Beginners,Mathematics,[],7,Princeton,Beginner,4.9
1278,Compilers Computer Sci Complete Guide,Computer Sci,[1057],18,Docker Inc,Intermediate,3.8
1279,Security+ Cybersecurity Masterclass,Cybersecurity,[1272],15,Udemy,Intermediate,4.1
1280,MBA Essentials Business Complete Guide,Business,"[1036,1057]",45,Stanford,Advanced,4.3
1281,Storytelling Communication Fundamentals,Communication,[],11,Meta,Beginner,4
1282,Interaction Design Fundamentals,Design,[],15,Red Hat,Beginner,4.5
1283,PostgreSQL Database Fundamentals,Database,[1277],17,Docker Inc,Intermediate,3.6
1284,iOS Mobile Dev in Practice,Mobile Dev,[1182],29,Princeton,Intermediate,4.2
1285,OSI Model Networking Certification Prep,Networking,"[1019,1268,1226]",34,deeplearning.ai,Advanced,4.8
1286,C++ and Programming in Practice,Programming,[],10,MIT OpenCourse,Beginner,4.6
1287,Practical Data Science for Beginners,Data Science,[],5,Google Cloud,Beginner,4.5
1288,NLP AI Deep Dive,AI,[1107],29,Yale,Intermediate,4.7
1289,HTML/CSS Web Dev Specialization,Web Dev,"[1271,1081]",29,Infosys Springboard,Intermediate,3.9
1290,AWS Cloud Crash Course,Cloud,"[1247,1001,1282]",34,Cisco,Advanced,4.6
1291,Kubernetes DevOps Professional,DevOps,[],11,Microsoft,Beginner,4.9
1292,Discrete Math Mathematics Advanced,Mathematics,[],9,freeCodeCamp,Beginner,4.2
1293,System Design Computer Sci Certification Prep,Computer Sci,"[1076,1187]",18,Google Cloud,Intermediate,4.8
1294,Security+ Cybersecurity Specialization,Cybersecurity,[1271],15,Infosys Springboard,Intermediate,4.5
1295,Finance Business Deep Dive,Business,"[1108,1139]",26,NPTEL,Advanced,3.7
1296,Presentation Communication Fundamentals,Communication,[],11,Docker Inc,Beginner,4.8
1297,Prototyping Design Professional,Design,[],9,deeplearning.ai,Beginner,4.6
1298,PostgreSQL Database Masterclass,Database,[1046],15,Oracle,Intermediate,4
1299,React Native Mobile Dev for Beginners,Mobile Dev,"[1071,1012]",20,IIT Delhi,Intermediate,4.7
1300,Network Admin Networking Fundamentals,Networking,"[1279,1016]",42,Linux Foundation,Advanced,4.5
1301,Python for Programming with Projects,Programming,[],6,Linux Foundation,Beginner,3.6
1302,Exploratory Data Science for Beginners,Data Science,[],5,Harvard,Beginner,4.2
1303,Neural Networks AI Complete Guide,AI,[1102],23,IBM,Intermediate,4.2
1304,Next.js Web Dev Deep Dive,Web Dev,"[1276,1096]",17,Harvard,Intermediate,3.8
1305,Cloud Cloud for Beginners,Cloud,"[1229,1042,1246]",50,Red Hat,Advanced,5
1306,Infrastructure DevOps Zero to Hero,DevOps,[],15,Microsoft,Beginner,4.9
